"No.","Time","Source","Destination","Protocol","Length","Info"
"658","23.042732292","172.16.0.58","172.16.0.59","SCTP","82","DATA (TSN=23) "
"659","23.042732561","172.16.0.58","172.16.0.59","SCTP","82","DATA (TSN=23) (retransmission) "
"660","23.043085449","172.16.0.59","172.16.0.58","SCTP","110","SACK (Ack=23, Arwnd=106496) DATA (TSN=23) "
"661","23.043085750","172.16.0.59","172.16.0.58","SCTP","110","SACK (Ack=23, Arwnd=106496) DATA (TSN=23) (retransmission) "
"662","23.173096216","Cisco_75:41:86","CDP/VTP/DTP/PAgP/UDLD","DTP","60","Dynamic Trunk Protocol"
"663","23.173096485","Cisco_75:41:86","CDP/VTP/DTP/PAgP/UDLD","DTP","60","Dynamic Trunk Protocol"
"664","23.173147174","Cisco_75:41:86","CDP/VTP/DTP/PAgP/UDLD","DTP","94","Dynamic Trunk Protocol"
"665","23.173147359","Cisco_75:41:86","CDP/VTP/DTP/PAgP/UDLD","DTP","94","Dynamic Trunk Protocol"
"666","23.244514022","172.16.0.58","172.16.0.59","SCTP","62","SACK (Ack=23, Arwnd=106496) "
"667","23.244514285","172.16.0.58","172.16.0.59","SCTP","62","SACK (Ack=23, Arwnd=106496) "
"668","23.265276244","Netgear_16:1a:25","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/00:09:7c:2d:d6:40  Cost = 225008  Port = 0x8001"
"669","23.265694905","Netgear_16:1a:25","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/00:09:7c:2d:d6:40  Cost = 225008  Port = 0x8002"
"670","23.293137285","172.16.0.59","172.16.0.58","SCTP","74","DATA (TSN=23) "
"671","23.293137488","172.16.0.59","172.16.0.58","SCTP","74","DATA (TSN=23) (retransmission) "
"672","23.293484932","172.16.0.58","172.16.0.59","SCTP","110","SACK (Ack=23, Arwnd=106496) DATA (TSN=23) "
"673","23.293485027","172.16.0.58","172.16.0.59","SCTP","110","SACK (Ack=23, Arwnd=106496) DATA (TSN=23) (retransmission) "
"674","23.379639931","Cisco_2b:6f:e6","Cisco_ab:5c:2e","LOOP","64","Unknown function (256)"
"675","23.379640251","Cisco_2b:6f:e6","Cisco_ab:5c:2e","LOOP","64","Unknown function (256)"
"676","23.390661716","Cisco_2b:70:16","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"677","23.390662016","Cisco_2b:70:16","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"678","23.495393459","172.16.0.59","172.16.0.58","SCTP","62","SACK (Ack=23, Arwnd=106496) "
"679","23.495393721","172.16.0.59","172.16.0.58","SCTP","62","SACK (Ack=23, Arwnd=106496) "
"680","23.686409324","Cisco_2b:6c:05","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"681","23.686409592","Cisco_2b:6c:05","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"682","24.044645644","172.16.0.58","172.16.0.59","SCTP","78","DATA (TSN=24) "
